,0
0,Sno
1,State
2,Cases
0,1
1,Andhra Pradesh
2, 5
0,2
1,Arunachal Pradesh 
2,0
0,3
1,Assam
2,0
0,4
1,Bihar
2, 4
0,5
1,Chhattisgarh
2, 1
0,6
1,Goa
2,0
0,7
1,Gujarat
2, 31
0,8
1,Haryana
2, 21
0,9
1,Himachal Pradesh
2, 2
0,10
1,Jammu and Kashmir
2, 4
0,11
1,Jharkhand
2,0
0,12
1,Karnataka
2, 33
0,13
1,Kerala
2, 95
0,14
1,Madhya Pradesh
2, 7
0,15
1,Maharashtra
2, 97
0,16
1,Manipur
2,0
0,17
1,Meghalaya
2,0
0,18
1,Mizoram
2,0
0,19
1,Nagaland
2,0
0,20
1,Odisha
2, 2
0,21
1,Punjab
2, 22
0,22
1,Rajasthan
2, 27
0,23
1,Sikkim
2,0
0,24
1,Tamil Nadu
2, 8
0,25
1,Telangana
2, 33
0,26
1,Tripura
2,0
0,27
1,Uttar Pradesh
2, 36
0,28
1,Uttarakhand
2, 3
0,29
1,West Bengal
2, 6
0,30
1,Andaman and Nicobar Islands
2,0
0,31
1,Chandigarh
2, 5
0,32
1,Dadra and Nagar Haveli
2,0
0,33
1,Daman and Diu
2,0
0,34
1,Lakshadweep
2,0
0,35
1,Delhi
2, 30
0,36
1,Puducherry
2, 1
