,0
0,Sno
1,State
2,Cases
0,1
1,Andhra Pradesh
2,9
0,2
1,Bihar
2,3
0,3
1,Chhattisgarh
2,1
0,4
1,Delhi
2,31
0,5
1,Gujarat
2,33
0,6
1,Haryana
2,28
0,7
1,Himachal Pradesh
2,3
0,8
1,Karnataka
2,41
0,9
1,Kerala
2,18
0,10
1,Madhya Pradesh
2,9
0,11
1,Maharashtra
2,101
0,12
1,Manipur
2,1
0,13
1,Mizoram
2,1
0,14
1,Odisha
2,2
0,15
1,Puducherry
2,1
0,16
1,Punjab
2,29
0,17
1,Rajasthan
2,32
0,18
1,Tamil Nadu
2,18
0,19
1,Telengana
2,35
0,20
1,Chandigarh
2,7
0,21
1,Jammu and Kashmir
2,7
0,22
1,Ladakh
2,13
0,23
1,Uttar Pradesh
2,35
0,24
1,Uttarakhand
2,4
0,25
1,West Bengal
2,9
0,26
1,Total cases
2,562
0,27
1,Total deaths
2,9
